[769, 300;
 1023, 915;
 1024, 914;
 1024, 913;
 1026, 911;
 1026, 910;
 1027, 909;
 1027, 908;
 1028, 907;
 1028, 906;
 1029, 905;
 1029, 904;
 1030, 903;
 1030, 902;
 1031, 901;
 1031, 900;
 1032, 899;
 1032, 898;
 1033, 897;
 1033, 896;
 1034, 895;
 1034, 894;
 1035, 893;
 1035, 892;
 1036, 891;
 1036, 890;
 1037, 889;
 1037, 888;
 1038, 887;
 1038, 886;
 1039, 885;
 1039, 884;
 1040, 883;
 1040, 882;
 1041, 881;
 1041, 880;
 1043, 878;
 1043, 877;
 1044, 876;
 1044, 875;
 1045, 874;
 1045, 873;
 1046, 872;
 1046, 871;
 1047, 870;
 1047, 869;
 1048, 868;
 1048, 867;
 1049, 866;
 1049, 865;
 1050, 864;
 1050, 863;
 1051, 862;
 1051, 861;
 1052, 860;
 1052, 859;
 1053, 858;
 1053, 857;
 1054, 856;
 1054, 855;
 1055, 854;
 1055, 853;
 1056, 852;
 1056, 851;
 1057, 850;
 1057, 849;
 1058, 848;
 1058, 847;
 1060, 845;
 1060, 844;
 1061, 843;
 1061, 842;
 1062, 841;
 1062, 840;
 1063, 839;
 1063, 838;
 1064, 837;
 1064, 836;
 1065, 835;
 1065, 834;
 1066, 833;
 1066, 832;
 1067, 831;
 1067, 830;
 1068, 829;
 1068, 828;
 1069, 827;
 1069, 826;
 1070, 825;
 1070, 824;
 1071, 823;
 1071, 822;
 1072, 821;
 1072, 820;
 1073, 819;
 1073, 818;
 1074, 817;
 1074, 816;
 1075, 815;
 1075, 814;
 1077, 812;
 1077, 811;
 1078, 810;
 1078, 809;
 1079, 808;
 1079, 807;
 1080, 806;
 1080, 805;
 1081, 804;
 1081, 803;
 1082, 802;
 1082, 801;
 1083, 800;
 1083, 799;
 1084, 798;
 1084, 797;
 1085, 796;
 1085, 795;
 1086, 794;
 1086, 793;
 1087, 792;
 1087, 791;
 1088, 790;
 1088, 789;
 1089, 788;
 1089, 787;
 1090, 786;
 1090, 785;
 1091, 784;
 1091, 783;
 1092, 782;
 1092, 781;
 1094, 779;
 1094, 778;
 1095, 777;
 1095, 776;
 1096, 775;
 1096, 774;
 1097, 773;
 1097, 772;
 1098, 771;
 1098, 770;
 1099, 769;
 1099, 768;
 1100, 767;
 1100, 766;
 1101, 765;
 1101, 764;
 1102, 763;
 1102, 762;
 1103, 761;
 1103, 760;
 1104, 759;
 1104, 758;
 1105, 757;
 1105, 756;
 1106, 755;
 1106, 754;
 1107, 753;
 1107, 752;
 1108, 751;
 1108, 750;
 1109, 749;
 1109, 748;
 1111, 746;
 1111, 745;
 1112, 744;
 1112, 743;
 1113, 742;
 1113, 741;
 1114, 740;
 1114, 739;
 1115, 738;
 1115, 737;
 1116, 736;
 1116, 735;
 1117, 734;
 1117, 733;
 1118, 732;
 1118, 731;
 1119, 730;
 1119, 729;
 1120, 728;
 1120, 727;
 1121, 726;
 1121, 725;
 1122, 724;
 1122, 723;
 1123, 722;
 1123, 721;
 1124, 720;
 1124, 719;
 1125, 718;
 1125, 717;
 1126, 716;
 1126, 715;
 1128, 713;
 1128, 712;
 1129, 711;
 1129, 710;
 1130, 709;
 1130, 708;
 1131, 707;
 1131, 706;
 1132, 705;
 1132, 704;
 1133, 703;
 1133, 702;
 1134, 701;
 1134, 700;
 1135, 699;
 1135, 698;
 1136, 697;
 1136, 696;
 1137, 695;
 1137, 694;
 1138, 693;
 1138, 692;
 1139, 691;
 1139, 690;
 1140, 689;
 1140, 688;
 1141, 687;
 1141, 686;
 1142, 685;
 1142, 684;
 1143, 683;
 1143, 682;
 1145, 680;
 1145, 679;
 1146, 678;
 1146, 677;
 1147, 676;
 1147, 675;
 1148, 674;
 1148, 673;
 1149, 672;
 1149, 671;
 1150, 670;
